x,y
-20,0.045647263
-19.899749,0.043594492
-19.799499,0.041080951
-19.699248,0.038127203
-19.598997,0.034758413
-19.498747,0.031004153
-19.398496,0.026898143
-19.298246,0.022477965
-19.197995,0.017784727
-19.097744,0.012862687
-18.997494,0.0077588543
-18.897243,0.0025225433
-18.796992,-0.0027950875
-18.696742,-0.0081415257
-18.596491,-0.013463411
-18.496241,-0.018707058
-18.39599,-0.023818979
-18.295739,-0.028746427
-18.195489,-0.033437916
-18.095238,-0.037843752
-17.994987,-0.041916542
-17.894737,-0.045611692
-17.794486,-0.048887874
-17.694236,-0.051707478
-17.593985,-0.054037021
-17.493734,-0.055847526
-17.393484,-0.057114861
-17.293233,-0.05782003
-17.192982,-0.057949422
-17.092732,-0.057495004
-16.992481,-0.056454465
-16.892231,-0.054831309
-16.79198,-0.052634881
-16.691729,-0.049880347
-16.591479,-0.046588612
-16.491228,-0.04278618
-16.390977,-0.038504958
-16.290727,-0.033782007
-16.190476,-0.028659235
-16.090226,-0.023183046
-15.989975,-0.017403931
-15.889724,-0.011376024
-15.789474,-0.0051566119
-15.689223,0.001194394
-15.588972,0.0076150138
-15.488722,0.014041785
-15.388471,0.02041037
-15.288221,0.026656177
-15.18797,0.032714995
-15.087719,0.038523629
-14.987469,0.044020538
-14.887218,0.049146458
-14.786967,0.053845018
-14.686717,0.058063333
-14.586466,0.061752565
-14.486216,0.064868462
-14.385965,0.067371853
-14.285714,0.069229098
-14.185464,0.070412499
-14.085213,0.070900646
-13.984962,0.070678719
-13.884712,0.069738724
-13.784461,0.068079663
-13.684211,0.065707644
-13.58396,0.062635923
-13.483709,0.058884873
-13.383459,0.05448189
-13.283208,0.049461224
-13.182957,0.043863741
-13.082707,0.037736629
-12.982456,0.031133021
-12.882206,0.024111569
-12.781955,0.016735954
-12.681704,0.0090743422
-12.581454,0.0011987842
-12.481203,-0.0068154234
-12.380952,-0.014890423
-12.280702,-0.022946512
-12.180451,-0.030902891
-12.080201,-0.038678432
-11.97995,-0.046192456
-11.879699,-0.053365532
-11.779449,-0.060120256
-11.679198,-0.066382046
-11.578947,-0.0720799
-11.478697,-0.077147148
-11.378446,-0.081522167
-11.278195,-0.085149061
-11.177945,-0.087978295
-11.077694,-0.089967283
-10.977444,-0.091080918
-10.877193,-0.091292038
-10.776942,-0.090581823
-10.676692,-0.088940129
-10.576441,-0.086365729
-10.47619,-0.082866495
-10.37594,-0.078459476
-10.275689,-0.073170908
-10.175439,-0.067036127
-10.075188,-0.0600994
-9.9749373,-0.052413673
-9.8746867,-0.04404022
-9.7744361,-0.035048226
-9.6741855,-0.025514276
-9.5739348,-0.015521771
-9.4736842,-0.0051602687
-9.3734336,0.0054752423
-9.273183,0.016285135
-9.1729323,0.02716599
-9.0726817,0.038011498
-8.9724311,0.048713395
-8.8721805,0.059162447
-8.7719298,0.069249449
-8.6716792,0.078866249
-8.5714286,0.087906785
-8.4711779,0.096268111
